frame,tid,cx,cy,yaw,hit,speed,moving,score,length
22,15,32.368328,9.306727,-2.832625,1,10.365983,1,32.000000,1.340915
22,16,27.104424,-26.066081,-3.141593,1,0.214607,0,1.000000,1.968863
22,18,15.520873,34.268295,-1.570796,1,0.107627,0,1.000000,0.000000
22,19,13.877304,39.718687,-2.121365,1,0.293765,0,4.000000,0.261409
23,1,23.401756,-17.558099,-1.160002,1,7.238265,1,44.000000,0.961328
23,2,14.733985,30.542848,-3.395558,1,0.243769,0,5.000000,1.712013
23,3,31.073419,-28.594368,-2.967397,1,0.150104,0,2.000000,1.694767
23,7,40.147943,-9.201081,-1.006301,1,0.068045,0,18.000000,1.315454
23,15,31.080594,9.224030,-2.786456,1,10.719714,1,31.000000,1.463913
23,16,27.087098,-26.053417,-3.141593,0,0.214607,0,1.000000,1.968863
23,19,13.854767,39.699844,-2.121365,0,0.293765,0,4.000000,0.261409
24,1,24.135892,-17.436213,-0.995434,1,7.259986,1,39.000000,0.808288
24,2,14.734687,30.491252,-3.847628,1,0.159983,0,3.000000,0.581871
24,3,31.077104,-28.608219,-2.987747,1,0.118912,0,2.000000,1.649643
24,7,40.137410,-9.211930,-0.938596,1,0.076842,0,20.000000,1.356606
24,15,29.823632,9.102531,-2.962645,1,10.972464,1,40.000000,1.428422
24,16,27.072196,-25.997571,-3.141593,1,0.258911,0,1.000000,1.968863
24,19,13.723497,39.107565,-1.985055,1,1.600586,0,8.000000,0.644265
25,1,25.027817,-17.282736,-0.934977,1,7.456988,1,41.000000,1.153578
25,3,31.087622,-28.343208,-8.498766,1,0.393110,0,4.000000,1.155269
25,7,40.160160,-9.186690,-0.889188,1,0.032825,0,15.000000,1.258553
25,15,28.239998,8.976248,-2.832636,1,11.591438,1,61.000000,1.664470
25,16,27.116099,-26.323417,-3.017705,1,0.319027,0,2.000000,1.878670
25,19,13.597070,37.914237,-1.698652,1,4.094081,0,7.000000,7.403168
25,2,14.734588,30.507250,-3.847628,0,0.159983,0,3.000000,0.581871
26,1,25.901848,-17.114387,-0.994468,1,7.615458,1,36.000000,1.073864
26,3,31.062572,-28.220933,-1.570796,1,0.484194,0,1.000000,1.155269
26,7,40.167094,-9.191885,-0.875475,1,0.025293,0,15.000000,1.171083
26,15,26.757717,8.798542,-2.656039,1,11.995935,1,81.000000,1.619347
26,19,13.364647,37.545397,-2.072538,1,4.095484,0,6.000000,0.739655
26,2,14.734489,30.523248,-3.847628,0,0.159983,0,3.000000,0.581871
26,16,27.108047,-26.354287,-3.017705,0,0.319027,0,2.000000,1.878670
27,1,26.762452,-16.949318,-0.727205,1,7.741750,1,32.000000,0.683223
27,2,14.757114,30.500292,-3.601179,1,0.121189,0,5.000000,0.925102
27,3,31.072653,-28.371564,-7.732891,1,0.264857,0,3.000000,1.979002
27,7,40.171602,-9.184591,-0.924669,1,0.013875,0,17.000000,1.289001
27,15,25.305056,8.652979,-2.591606,1,12.301347,1,62.000000,1.947464
27,19,13.239148,37.165553,-2.309320,1,4.073651,1,5.000000,0.393465
27,16,27.099996,-26.385157,-3.017705,0,0.319027,0,2.000000,1.878670
28,2,14.745198,30.515868,-3.302697,1,0.123081,0,3.000000,1.402311
28,3,31.121375,-28.639608,-7.801301,1,0.076967,0,3.000000,0.384657
28,7,40.172345,-9.188857,-0.889493,1,0.014405,0,15.000000,1.232540
28,16,27.124200,-26.241001,-3.141593,1,0.115125,0,1.000000,1.878670
28,19,13.098530,36.694423,-1.895764,1,4.241679,1,7.000000,0.357482
28,1,27.528506,-16.837480,-0.727205,0,7.741750,1,32.000000,0.683223
29,1,28.744772,-16.535108,-6.980151,1,8.259053,1,29.000000,0.638249
29,2,14.729169,30.444960,-3.920766,1,0.038269,0,4.000000,0.613920
29,3,31.127910,-28.765261,-7.718528,1,0.200088,0,4.000000,1.988033
29,7,40.156846,-9.194854,-0.927443,1,0.030689,0,16.000000,1.307211
29,19,12.962759,36.174942,-1.623647,1,4.447496,1,2.000000,0.122472
29,20,39.454742,10.297112,-2.966142,1,0.000000,0,4.000000,0.501427
29,16,27.119872,-26.251669,-3.141593,0,0.115125,0,1.000000,1.878670
30,1,29.858470,-16.250001,-6.955575,1,8.604338,1,22.000000,0.557385
30,2,14.731577,30.392783,-3.840331,1,0.021328,0,3.000000,0.599728
30,3,31.133118,-28.825234,-1.436340,1,0.244278,0,3.000000,1.789536
30,7,40.118631,-9.220526,-1.047956,1,0.078570,0,14.000000,1.421051
30,16,27.160482,-26.526551,-3.078624,1,0.379044,0,2.000000,1.747421
30,19,12.838314,35.788780,-1.906129,1,4.381492,1,4.000000,0.236135
30,20,38.764505,10.183848,-3.092044,1,0.578774,0,5.000000,0.500447
30,21,18.384188,7.823182,-2.479500,1,0.000000,0,112.000000,1.822304
31,2,14.705409,30.316179,2.244189,1,0.103350,0,2.000000,0.113560
31,3,31.142679,-28.932518,-7.720603,1,0.336826,0,4.000000,1.972544
31,7,40.119105,-9.225150,-0.906770,1,0.072298,0,20.000000,1.397249
31,16,27.160044,-26.383094,-3.141593,1,0.198183,0,1.000000,1.747421
31,19,12.736893,35.427487,-2.372806,1,4.283711,1,4.000000,0.147886
31,20,38.066311,10.019256,-3.687494,1,1.993053,0,4.000000,0.248857
31,21,17.636805,7.697008,-2.297517,1,0.627170,0,58.000000,2.767809
31,22,10.932250,27.434141,-0.896070,1,0.000000,0,3.000000,0.198444
31,23,17.600620,-12.473350,-1.570796,1,0.000000,0,1.000000,0.000000
31,24,15.424535,34.372559,-2.848116,1,0.000000,0,2.000000,0.158840
32,2,14.760892,30.387904,-4.643249,1,0.031925,0,2.000000,0.393852
32,3,31.155297,-28.914443,-7.618359,1,0.281991,0,2.000000,1.610596
32,7,40.125637,-9.222895,-0.874260,1,0.056910,0,17.000000,1.356825
32,16,27.125936,-26.260271,-3.141593,1,0.065816,0,1.000000,1.747421
32,21,18.581595,7.728362,-7.303995,1,6.071855,0,62.000000,0.886040
32,22,10.957043,27.442735,-1.570796,1,0.021713,0,1.000000,0.198444
32,19,12.619436,35.015534,-2.372806,0,4.283711,1,4.000000,0.147886
32,23,17.600620,-12.473350,-1.570796,0,0.000000,0,1.000000,0.000000
32,24,15.424535,34.372559,-2.848116,0,0.000000,0,2.000000,0.158840
32,20,37.871629,9.976575,-3.687494,0,1.993053,0,4.000000,0.248857
33,2,14.753746,30.406206,-4.832437,1,0.020522,0,8.000000,1.229692
33,3,31.125937,-28.736135,-1.570796,1,0.049988,0,1.000000,1.610596
33,7,40.104827,-9.247614,-0.843422,1,0.086243,0,14.000000,1.182152
33,19,12.581804,34.832626,-1.947705,1,3.960242,1,3.000000,0.229911
33,21,17.443663,7.400147,-1.619889,1,7.093713,1,5.000000,0.312368
33,22,10.847601,27.491135,-2.241376,1,0.244591,0,3.000000,0.284923
33,23,17.615529,-12.479349,-1.570796,1,0.021349,0,1.000000,0.000000
33,24,15.417458,34.270432,-3.141593,1,0.135993,0,1.000000,0.158840
33,20,37.676947,9.933895,-3.687494,0,1.993053,0,4.000000,0.248857
34,2,14.786769,30.530830,-4.712389,1,0.151103,0,1.000000,1.229692
34,3,31.148144,-28.858517,-7.658950,1,0.182258,0,4.000000,2.080986
34,7,40.116173,-9.236832,-0.954910,1,0.059126,0,14.000000,1.295286
34,19,12.513687,34.643972,-1.632237,1,3.714475,1,2.000000,0.119034
34,20,34.969526,9.707854,-3.010415,1,7.350363,0,6.000000,0.544844
34,22,10.825727,27.502080,-2.241376,0,0.244591,0,3.000000,0.284923
35,2,14.775938,30.527405,-5.068405,1,0.127463,0,3.000000,1.139160
35,3,31.129746,-28.742382,-7.719268,1,0.033045,0,6.000000,2.509281
35,7,40.084705,-9.260323,-0.914156,1,0.096229,0,16.000000,1.316496
35,19,12.465355,34.509841,-2.118654,1,3.440433,1,2.000000,0.116676
35,20,33.468129,9.523663,-2.744104,1,8.855875,0,8.000000,0.856301
35,22,10.803854,27.513025,-2.241376,0,0.244591,0,3.000000,0.284923
36,2,14.756458,30.480410,1.051687,1,0.058380,0,6.000000,0.427185
36,3,31.090990,-28.568753,-1.570796,1,0.172464,0,1.000000,2.509281
36,7,40.118883,-9.236418,-0.895363,1,0.039336,0,13.000000,1.306225
36,20,32.588389,9.422056,-2.744104,0,8.855875,1,8.000000,0.856301
36,22,10.781980,27.523969,-2.241376,0,0.244591,0,3.000000,0.284923
37,2,14.749060,30.449775,1.053029,1,0.017372,0,6.000000,0.941486
37,3,31.055532,-28.318368,-7.914082,1,0.436056,0,5.000000,0.803051
37,7,40.100409,-9.252531,-0.916291,1,0.062250,0,18.000000,1.343801
37,25,22.530811,12.350929,-2.543795,1,0.000000,0,19.000000,1.379219
37,26,36.117001,-13.619275,-1.452794,1,0.000000,0,2.000000,0.267822
37,20,31.708650,9.320449,-2.744104,0,8.855875,1,8.000000,0.856301
37,22,10.760106,27.534914,-2.241376,0,0.244591,0,3.000000,0.284923
38,2,14.716563,30.383416,-5.718794,1,0.068389,0,3.000000,0.240440
38,3,31.072886,-28.460834,-7.704506,1,0.226891,0,3.000000,2.021759
38,7,40.106973,-9.252745,-0.968609,1,0.050489,0,17.000000,1.290119
38,20,29.928762,9.154992,-2.978340,1,10.156822,1,14.000000,0.842136
38,22,10.838163,27.441562,-2.327409,1,0.082322,0,2.000000,0.197024
38,26,36.557758,-13.472831,-6.959728,1,0.384307,0,15.000000,0.418502
38,27,-22.251905,-4.057102,-3.101554,1,0.000000,0,26.000000,0.966882
38,25,22.530811,12.350929,-2.543795,0,0.000000,0,19.000000,1.379219
39,2,14.717985,30.340741,0.860762,1,0.103853,0,3.000000,0.589798
39,3,31.094310,-28.707663,-8.352655,1,0.077465,0,2.000000,0.137039
39,7,40.104758,-9.251671,-0.936421,1,0.045589,0,16.000000,1.204239
39,20,28.535658,8.988751,-3.043339,1,10.675554,1,5.000000,0.556781
39,25,20.450072,12.030022,-1.923728,1,2.796807,0,30.000000,2.051588
39,26,36.966478,-13.336452,-6.818003,1,1.226440,0,13.000000,0.508493
39,27,-21.954177,-4.053510,-3.107947,1,0.246372,0,36.000000,0.973855
39,28,22.977591,11.830790,-1.570796,1,0.000000,0,1.000000,0.000000
39,22,10.831946,27.436166,-2.327409,0,0.082322,0,2.000000,0.197024
40,2,14.726250,30.326780,-5.152463,1,0.105340,0,5.000000,0.911358
40,3,31.099187,-28.684651,-7.622377,1,0.042732,0,2.000000,1.361286
40,7,40.106546,-9.252055,-0.836007,1,0.039485,0,18.000000,1.247204
40,20,27.256334,8.841905,-3.123687,1,10.955798,1,5.000000,0.368949
40,22,10.697011,27.619815,-1.570796,1,0.303441,0,1.000000,0.197024
40,26,37.560677,-13.090368,-6.775199,1,2.665608,0,19.000000,0.620308
40,27,-21.726948,-4.005440,2.616351,1,0.689218,0,46.000000,2.368219
40,29,27.196310,-26.058800,-1.570796,1,0.000000,0,1.000000,0.000000
40,25,20.173660,11.987392,-1.923728,0,2.796807,0,30.000000,2.051588
41,2,14.729776,30.309377,-5.604493,1,0.112323,0,4.000000,0.644476
41,3,31.057347,-28.427909,-7.720363,1,0.253572,0,5.000000,0.865450
41,7,40.096725,-9.274730,-0.953872,1,0.061978,0,12.000000,1.409441
41,20,26.001014,8.739052,-2.892529,1,11.156465,1,12.000000,0.423049
41,25,19.922738,11.633483,-1.957947,1,2.922420,1,2.000000,0.089471
41,26,38.251674,-12.793794,-6.840853,1,3.998762,0,9.000000,0.537686
41,27,-21.413882,-3.942654,-3.645128,1,1.381913,0,33.000000,2.067244
41,29,27.330448,-26.187323,-1.570796,1,0.153716,0,1.000000,0.000000
41,22,10.673807,27.639368,-1.570796,0,0.303441,0,1.000000,0.197024
42,2,14.779371,30.333226,-6.283185,1,0.085414,0,1.000000,0.644476
42,3,31.048178,-28.430908,-7.738923,1,0.224187,0,3.000000,1.773127
42,7,40.089995,-9.266875,-0.959371,1,0.052971,0,11.000000,1.172686
42,20,24.753617,8.578817,-3.340376,1,11.325952,1,15.000000,0.879807
42,22,10.596765,27.680678,-2.082277,1,0.368855,0,2.000000,0.091937
