frame,tid,cls,cx,cy,yaw,vx,vy,heading,hit,speed,moving,score,length,width,is_vehicle
10,2,Truck,27.615503,-4.543092,-2.993394,14.070414,1.951331,0.137804,1,14.205078,1,471.000000,8.279640,2.641679,1
10,3,Car,14.780053,30.256434,-4.416692,0.000295,-0.133046,-1.568582,1,0.133046,0,7.000000,1.934994,0.647873,0
10,7,Car,16.022488,35.104645,-1.973282,-0.899544,-2.139440,-1.968813,1,2.320859,0,2.000000,0.118792,0.061520,0
10,8,Car,40.265711,-9.065793,-0.902998,0.078802,0.092515,0.865269,1,0.121527,0,14.000000,1.215864,0.284500,0
10,10,Car,25.198835,8.964856,-2.893036,-10.092062,-0.693159,-3.073017,1,10.115839,1,17.000000,1.311924,0.358919,0
10,13,Car,10.628856,27.803681,-1.570796,0.000632,0.001635,1.201788,1,0.001754,0,1.000000,0.000000,1.900000,0
10,4,Car,31.196885,-29.503035,-2.978541,0.243730,-1.640920,-1.423342,0,1.658922,0,3.000000,2.087845,0.046541,0
10,11,Car,25.530987,12.398834,-3.137676,-7.419862,-0.622715,-3.057863,0,7.445947,1,2.000000,0.676355,0.153030,0
11,1,Car,14.586677,-18.668747,-1.153135,6.692164,0.450552,0.067224,1,6.707314,1,66.000000,0.898866,0.366991,1
11,3,Car,14.769091,30.267778,-3.636192,-0.015205,-0.098289,-1.724274,1,0.099458,0,8.000000,0.972599,0.281974,0
11,4,Car,31.124092,-28.993294,-3.141593,0.109622,-0.710893,-1.417799,1,0.719295,0,1.000000,2.087845,0.046541,0
11,8,Car,40.213541,-9.114040,-0.895649,-0.005875,0.011436,2.045367,1,0.012856,0,19.000000,1.247622,0.289856,0
11,10,Car,23.916037,8.790060,-2.813323,-10.551582,-0.870321,-3.059296,1,10.587414,1,9.000000,0.918013,0.199686,0
11,11,Car,23.498661,12.217391,-2.838536,-10.181392,-0.877761,-3.055593,1,10.219159,1,17.000000,0.704936,0.131529,0
11,14,Car,33.570560,-2.574430,-1.570796,0.000000,0.000000,,1,0.000000,0,1.000000,0.000000,1.900000,0
11,15,Car,25.463535,-4.894788,-1.144219,0.000000,0.000000,,1,0.000000,0,143.000000,6.798183,2.255073,1
11,13,Car,10.628919,27.803845,-1.570796,0.000632,0.001635,1.201788,0,0.001754,0,1.000000,0.000000,1.900000,0
12,1,Car,15.331954,-18.597195,-1.269226,6.793137,0.485727,0.071381,1,6.810480,1,70.000000,1.302162,0.461683,1
12,3,Car,14.755722,30.271168,-3.591395,-0.030934,-0.080740,-1.936676,1,0.086463,0,7.000000,0.836353,0.301452,0
12,4,Car,31.092220,-28.883826,-2.986326,0.054570,-0.478837,-1.457323,1,0.481936,0,3.000000,1.797680,0.115549,0
12,8,Car,40.318770,-9.129559,-0.262512,0.134599,-0.010684,-0.079211,1,0.135023,0,2.000000,0.894424,0.289856,0
12,10,Car,22.765390,8.549538,-3.091952,-10.700035,-1.108947,-3.038322,1,10.757347,1,4.000000,1.414956,0.029217,0
12,11,Car,21.915594,11.934705,-2.582475,-11.253373,-1.247614,-3.031178,1,11.322321,1,21.000000,1.385626,0.656158,0
12,13,Car,10.625505,27.794917,-1.570796,-0.006843,-0.017909,-1.935760,1,0.019171,0,1.000000,0.000000,1.900000,0
12,14,Car,32.829648,-3.050479,-7.494738,-0.613066,-0.393905,-2.570496,1,0.728705,0,8.000000,1.391558,0.342384,0
12,15,Car,26.288047,-4.793904,-1.698785,0.682240,0.083476,0.121751,1,0.687328,0,91.000000,2.688879,1.780470,1
